422262 1.12522e+07 0.922058 357747 0.829435 7356 0.738258 1.12618e+07 0.921883 349396 0.831622 6127 0.726378 
422263 4.4221e+06 0.924773 139294 0.838075 2801 0.742971 4.42603e+06 0.924593 135722 0.840093 2452 0.753998 
422266 4.93885e+06 0.882205 175528 0.696197 4609 0.540455 4.95291e+06 0.880765 162865 0.708898 3207 0.553982 
422267 2.51734e+06 0.895647 85043 0.741484 1937 0.596367 2.52232e+06 0.894959 80528 0.747061 1467 0.607453 
422268 9.35012e+06 0.903272 305666 0.768374 6722 0.646098 9.36313e+06 0.902897 293996 0.771277 5384 0.646416 
422269 1.30199e+07 0.909757 420891 0.785196 9590 0.658971 1.30462e+07 0.90905 397131 0.794075 7049 0.677398 
422272 1.24439e+07 0.916062 386174 0.810898 7919 0.710798 1.24594e+07 0.915813 372020 0.813244 6520 0.705246 
422273 6.7991e+06 0.91659 213583 0.805964 4916 0.681169 6.81368e+06 0.915647 200473 0.822403 3449 0.704453 
422298 8.48712e+06 0.912759 265510 0.790959 5410 0.674311 8.49956e+06 0.912469 254093 0.792765 4396 0.66455 
422305 1.23702e+07 0.918881 377312 0.812418 7550 0.706598 1.23865e+07 0.918651 362181 0.813906 6321 0.706257 
422314 1.30199e+07 0.923048 392632 0.826623 7849 0.731773 1.30382e+07 0.922838 375660 0.827932 6481 0.729842 
422319 1.00635e+06 0.924941 29969 0.835513 597 0.743462 1.00743e+06 0.924718 29013 0.838163 476 0.755556 
422322 1.16583e+07 0.927307 346596 0.842266 6865 0.754064 1.16734e+07 0.927132 332758 0.843497 5624 0.753181 
422323 1.06082e+07 0.930068 313365 0.852003 6220 0.771712 1.06214e+07 0.929892 301383 0.853962 4973 0.758658 
422324 9.84945e+06 0.93213 293343 0.857502 5619 0.77386 9.861e+06 0.93201 282713 0.857923 4703 0.775049 
422531 661577 0.894372 23590 0.728311 568 0.618063 663548 0.893758 21789 0.728607 398 0.576812 
422540 1.52123e+06 0.905806 52622 0.766604 1225 0.640355 1.5247e+06 0.905387 49446 0.767259 929 0.619746 
422543 4.22552e+06 0.911693 144316 0.788457 3124 0.666098 4.23481e+06 0.911333 135656 0.788386 2489 0.685675 
422553 8.59688e+06 0.920051 288544 0.814721 6020 0.710492 8.61563e+06 0.919712 270884 0.816449 4935 0.702291 
422562 915803 0.92635 29838 0.836759 624 0.738462 917337 0.926163 28455 0.836321 473 0.758013 
422566 1.19729e+07 0.928172 385402 0.843676 7672 0.755937 1.19948e+07 0.927976 364907 0.844282 6303 0.744068 
422575 2.12164e+06 0.930962 67793 0.854677 1412 0.763656 2.12617e+06 0.930858 63577 0.851759 1099 0.779986 
422611 2.22308e+06 0.878343 95689 0.660494 4441 0.508356 2.25065e+06 0.871037 71172 0.723793 1397 0.580391 
422613 1.40471e+07 0.914924 459442 0.787926 10112 0.663343 1.40704e+07 0.914437 438342 0.792865 7903 0.668386 
422614 5.03286e+06 0.92123 159288 0.810539 3331 0.710841 5.03886e+06 0.920851 153892 0.81626 2734 0.697983 
422615 2.34223e+06 0.925921 72834 0.830907 1464 0.746177 2.34612e+06 0.925663 69296 0.833285 1113 0.717139 
422618 1.20401e+07 0.928433 368167 0.839129 7332 0.740157 1.2056e+07 0.928236 353553 0.840404 6067 0.747997 
422633 4.87439e+06 0.926261 194718 0.851606 4572 0.752221 4.8493e+06 0.926329 219288 0.858451 5096 0.753958 
422640 803338 0.926451 32140 0.849837 743 0.762834 799498 0.926273 35926 0.861328 797 0.750471 
