 -147.63 -119.54 32.54 29.73 -1.54 -3.00 2.34 17.63 11.83 2.61 2.48 -3.57 -5.13 -1.63 0.46 5.58 -0.76 3.66 10.99 10.72 0.04 -4.07 5.36 6.23 0.01 -3.13 3.41 3.61 -4.41 -2.78 -10.94 -12.57 10.28 -11.71 -14.16 1.74 15.86 8.34 -26.42 -26.94
 -3.39 17.42 65.47 -84.06 20.07 -1.87 45.22 0.87 -10.05 -13.98 -23.24 -12.73 3.36 -1.54 10.66 -17.36 8.94 -1.74 9.68 3.15 9.82 16.05 8.95 11.64 8.11 15.61 23.57 13.98 17.34 -0.53 8.56 -7.15 5.63 16.23 -20.00 30.48 -15.45 45.93 12.03 -101.35
 66.73 131.36 -42.04 -29.69 -47.24 -13.26 -38.31 2.77 21.93 -0.69 -2.23 16.79 -7.29 -20.99 3.30 8.15 -9.93 1.57 1.65 10.03 -3.17 -4.71 -8.07 3.81 -20.40 -2.94 8.25 -0.60 -2.19 0.73 -2.90 1.92 -26.17 -12.69 29.75 -16.18 12.21 -10.85 -22.87 14.94
 -138.04 -121.40 35.21 -115.01 29.80 51.06 -13.26 10.19 10.89 21.55 -2.89 -5.64 -7.84 -8.32 1.10 -7.18 -4.47 -5.74 -9.48 -5.99 -0.32 1.09 3.70 2.18 1.15 -6.44 -5.14 8.68 -6.19 5.78 9.41 -7.11 2.19 -10.28 -4.71 -10.01 -3.19 -35.19 3.22 52.05
 67.94 -5.10 -73.37 -97.51 -6.62 -20.73 56.47 -15.08 -3.95 6.15 2.58 -4.69 13.26 -1.74 -2.06 -0.57 1.21 -9.88 -11.69 1.02 -11.53 0.77 4.52 0.86 -1.53 12.61 3.65 -8.58 -10.78 -2.76 0.11 -2.87 24.77 12.24 16.92 3.29 9.11 10.91 0.66 -15.43
 -254.09 81.13 41.43 -4.25 -88.01 -41.67 -22.18 21.81 40.04 -4.01 5.05 -9.09 12.61 -13.81 8.85 8.10 -9.97 14.90 -6.34 7.55 -11.71 -13.84 -8.93 9.51 10.63 1.79 -4.10 -10.10 11.13 6.25 0.27 4.29 8.75 5.70 -14.72 14.01 -17.01 -9.54 -8.80 -27.24
 89.15 81.64 71.05 19.88 -64.96 -44.69 -42.80 -45.91 1.11 -26.17 -1.56 -9.17 -2.59 3.68 12.56 19.20 -4.28 -7.54 -7.32 0.61 9.71 0.56 4.31 -4.57 -15.78 -1.31 17.16 -4.35 3.32 0.21 -2.83 -2.28 -7.56 8.49 -4.42 29.22 -19.23 -12.81 -11.47 5.35
 21.89 -105.06 -57.55 65.35 -67.33 31.32 -43.17 -18.55 -43.03 -18.53 -11.19 11.05 -16.97 7.33 -13.79 7.16 -19.77 -13.21 -11.65 12.87 5.11 2.63 5.84 -3.54 7.24 6.55 -12.13 -19.40 15.23 -6.12 -17.61 -4.17 3.87 -9.53 -10.97 12.84 -3.54 9.11 4.96 -4.51
 -53.98 33.11 116.37 -163.17 4.10 21.93 14.81 25.86 -4.06 26.15 -8.55 10.91 9.29 14.87 -20.91 -6.84 -9.72 -1.93 14.08 -2.02 15.53 9.05 -1.62 -3.71 -1.75 -0.72 2.46 -2.05 -8.70 -3.62 -5.06 1.22 2.36 -10.43 -10.12 -3.53 21.73 -79.72 48.83 95.85
 90.88 -113.77 -10.21 -74.67 -36.95 -55.44 -4.68 -32.94 -38.70 -35.27 -11.24 2.12 6.92 -6.40 -6.50 -0.25 0.77 -7.61 1.14 8.66 -16.68 9.30 9.18 -8.73 16.39 7.95 6.56 -8.88 -2.11 16.41 -1.29 -7.81 -3.44 17.73 34.61 15.90 -44.15 -1.80 20.44 59.49
